CK   PC_reg     PC_plus_4   branch_adrs  jr_adrs         jump_adrs  PC_plus_4_pID IR_reg    PC_source     PC_mux_out     
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4       rdbk5       rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11         rdbk12       rdbk13      rdbk14       rdbk15      
0  x"00400000" x"00400004" x"00000000" x"00400004"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
46  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
47  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
48  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
49  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
50  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
51  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
52  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
53  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
54  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
55  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
56  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
57  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
58  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
59  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
60  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
61  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
62  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
63  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
64  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
65  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
66  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
67  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
68  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
69  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
70  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
71  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
72  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
73  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
74  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
75  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
76  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
77  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
78  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
79  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
80  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
81  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
82  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
83  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
84  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
85  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
86  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
87  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
88  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
89  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
90  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
91  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
92  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
93  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
94  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
95  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
96  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
97  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
98  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
99  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
100  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
101  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
102  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
103  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
104  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
105  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
106  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
107  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
108  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
109  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
110  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
111  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
112  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
113  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
114  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
115  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
116  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
117  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
